latitude,longitude,scan,track,confidence,frp,daynight,Class,source
58.3615,-104.0296,3.9,1.8,83,445.5,1,0,1
58.33216,-120.62043,0.66,0.73,66,9.22,0,1,0
59.382,-114.006,1.5,1.2,27,24.1,0,0,1
59.4565,-113.101,1.2,1.1,100,44.2,0,1,1
59.39277,-121.56141,0.43,0.46,66,4.02,0,0,0
59.47214,-113.94469,0.38,0.59,66,28.37,1,1,0
58.7013,-120.4871,2.7,1.6,100,424.1,0,0,1
59.24998,-120.41169,0.48,0.48,66,1.45,0,0,0
60.66866,-112.06346,0.33,0.56,100,5.55,0,1,0
58.9364,-114.7277,3.0,1.6,64,114.9,1,0,1
58.24677,-119.41157,0.55,0.51,66,21.26,0,0,0
58.63721,-121.54373,0.5,0.49,66,2.31,0,0,0
58.4886,-121.5066,1.8,1.3,96,51.9,0,1,1
59.51159,-113.06437,0.43,0.38,66,5.65,0,0,0
58.56153,-118.0062,0.57,0.43,66,3.32,0,0,0
58.6996,-118.3704,2.4,1.5,76,63.5,0,0,1
61.04687,-112.2541,0.43,0.38,66,7.33,0,0,0
54.7778,-123.9152,1.3,1.1,93,35.5,0,1,1
59.0357,-120.9289,2.4,1.5,94,102.6,0,0,1
58.1265,-118.5737,2.3,1.5,55,37.6,0,0,1
58.36744,-120.60101,0.66,0.73,66,8.2,0,1,0
57.58748,-120.47548,0.39,0.36,66,4.72,0,1,0
58.76941,-120.66498,0.48,0.48,66,21.37,0,0,0
57.7342,-122.676,1.6,1.2,37,15.7,0,1,1
58.56421,-120.8349,0.38,0.36,66,11.09,0,1,0
59.50546,-113.25666,0.48,0.4,66,3.21,1,0,0
58.35862,-119.5508,0.54,0.51,66,1.74,0,0,0
59.3209,-121.523,1.8,1.3,100,620.4,0,1,1
58.7266,-118.05333,0.66,0.73,66,6.46,0,1,0
59.53136,-114.47031,0.46,0.39,66,17.25,0,0,0
61.1273,-121.022,2.0,1.4,84,33.8,0,0,1
58.1679,-121.709,1.7,1.3,95,36.7,0,0,1
58.7218,-118.3802,2.4,1.5,58,58.1,0,0,1
58.0439,-113.4683,1.4,1.2,35,16.4,0,0,1
58.32983,-119.31611,0.39,0.36,100,95.17,0,1,0
59.53153,-114.50288,0.39,0.6,66,4.35,1,1,0
56.0632,-103.6858,1.0,1.0,13,6.2,0,0,1
58.16629,-120.27471,0.61,0.71,100,25.4,0,1,0
58.3493,-104.016,1.0,1.0,0,5.7,1,0,1
59.6947,-114.3553,1.6,1.2,100,383.3,0,1,1
59.64096,-114.13326,0.46,0.39,66,2.2,0,0,0
55.6121,-104.39709,0.38,0.36,66,13.77,1,0,0
59.1087,-120.3764,2.2,1.5,100,332.0,0,1,1
60.86243,-112.32885,0.7,0.75,66,7.15,0,1,0
59.5056,-111.6984,2.2,1.4,54,40.4,1,1,1
58.43698,-118.43504,0.58,0.52,66,4.29,0,0,0
61.07225,-112.39821,0.35,0.56,66,37.82,0,1,0
58.68744,-120.64122,0.49,0.48,100,22.6,0,0,0
57.0774,-100.2476,1.1,1.0,79,44.6,1,0,1
60.8941,-112.2224,2.0,1.4,100,418.3,1,1,1
58.3479,-120.7058,1.9,1.3,34,47.5,0,0,1
58.35351,-119.8241,0.39,0.36,66,2.17,0,1,0
58.62409,-118.18423,0.59,0.53,66,5.48,0,0,0
58.62447,-121.5514,0.38,0.36,66,2.56,0,1,0
58.2439,-119.3665,2.2,1.4,100,119.4,0,1,1
58.653,-117.9796,2.5,1.5,100,248.1,0,0,1
58.6437,-120.5488,2.7,1.6,0,73.0,0,1,1
58.7285,-120.0732,2.6,1.5,100,933.2,0,1,1
58.2976,-118.49731,0.4,0.37,66,1.1,0,1,0
58.22466,-120.68402,0.46,0.47,66,2.16,0,0,0
56.4009,-109.0166,2.3,1.5,74,48.7,1,1,1
59.74871,-112.4313,0.5,0.41,66,2.38,0,1,0
61.0506,-112.5182,4.3,1.9,44,54.8,0,0,1
58.7358,-121.1462,1.8,1.3,100,44.5,0,0,1
58.49532,-118.44614,0.4,0.37,66,2.22,0,1,0
59.59114,-114.44183,0.45,0.39,66,8.68,0,1,0
58.26525,-119.5508,0.42,0.45,66,5.68,0,0,0
58.72471,-118.27927,0.39,0.44,66,7.61,0,0,0
59.5069,-113.9812,1.5,1.2,32,38.1,0,1,1
58.75538,-118.11526,0.65,0.73,66,6.07,0,1,0
59.3259,-121.35547,0.5,0.49,66,5.37,0,0,0
60.97301,-112.37329,0.34,0.56,100,5.38,0,1,0
58.74684,-120.79593,0.38,0.36,66,2.98,0,1,0
60.2289,-118.11024,0.39,0.36,66,1.92,0,1,0
59.44242,-115.74221,0.44,0.63,66,1.01,0,1,0
58.01054,-121.77835,0.5,0.49,66,3.06,0,0,0
58.30522,-119.43993,0.39,0.36,66,4.36,0,1,0
56.035,-103.6177,1.0,1.0,12,8.7,0,1,1
58.3083,-120.1567,2.4,1.5,48,17.4,0,0,1
