latitude,longitude,bright_ti4,scan,track,acq_time,satellite,confidence,bright_ti5,frp,daynight,Class
57.65119,-120.35931,296.67,0.54,0.51,1118,0,1,283.03,2.04,0,0
58.64837,-120.6664,309.24,0.47,0.47,938,0,1,282.98,2.4,0,0
55.44264,-123.60075,307.21,0.5,0.49,1119,0,1,279.32,3.44,0,0
58.82126,-118.16715,311.1,0.58,0.52,1118,0,1,286.63,2.36,0,0
58.83109,-118.14421,304.83,0.58,0.52,1118,0,1,287.02,1.69,0,0
57.94616,-121.5395,297.67,0.49,0.48,1119,0,1,282.96,1.1,0,0
58.64312,-120.50168,315.9,0.5,0.49,1118,0,1,279.98,4.02,0,0
59.09329,-120.35268,328.52,0.46,0.47,938,0,1,281.47,4.54,0,0
58.96867,-120.27067,297.13,0.45,0.47,938,0,1,280.64,1.7,0,0
58.24313,-118.43328,345.06,0.39,0.44,938,0,1,301.39,7.81,0,0
58.81041,-120.46985,330.16,0.49,0.49,1118,0,1,282.69,4.77,0,0
58.70369,-120.4911,307.34,0.46,0.47,938,0,1,281.75,2.2,0,0
59.75847,-111.77163,346.69,0.41,0.37,937,0,1,294.93,4.42,0,0
58.83444,-120.46431,321.19,0.49,0.49,1118,0,1,283.0,4.7,0,0
60.39552,-118.07427,312.96,0.4,0.44,937,0,1,280.92,1.52,0,0
58.68229,-118.36827,301.96,0.39,0.44,938,0,1,288.31,5.23,0,0
57.25753,-120.69231,311.29,0.55,0.51,1119,0,1,281.25,2.97,0,0
58.82803,-118.15077,307.11,0.58,0.52,1118,0,1,286.78,1.7,0,0
59.74696,-112.50703,316.34,0.42,0.38,937,0,1,286.89,1.45,0,0
60.39902,-118.06577,314.94,0.4,0.44,937,0,1,280.83,2.0,0,0
58.64159,-120.53271,339.43,0.49,0.49,1118,0,1,281.51,6.21,0,0
58.82923,-121.02299,318.63,0.47,0.48,1118,0,1,283.14,4.22,0,0
58.99795,-120.52962,299.33,0.46,0.47,938,0,1,273.43,1.66,0,0
60.39608,-118.08153,309.15,0.4,0.44,937,0,1,281.25,1.52,0,0
58.82742,-118.12487,354.17,0.38,0.44,938,0,1,283.24,13.14,0,0
58.74568,-117.99385,297.07,0.59,0.53,1118,0,1,286.59,1.81,0,0
58.82905,-118.14495,309.31,0.39,0.44,938,0,1,288.41,2.85,0,0
59.05963,-120.30993,307.45,0.49,0.48,1118,0,1,284.46,1.59,0,0
58.61089,-120.63439,299.72,0.46,0.47,938,0,1,281.05,1.73,0,0
58.22264,-118.69168,339.95,0.39,0.44,938,0,1,292.38,4.45,0,0
58.19033,-113.44122,329.69,0.37,0.58,2110,0,1,288.69,4.06,1,0
58.54314,-120.82042,307.53,0.47,0.48,938,0,1,272.93,0.56,0,0
58.69002,-120.47478,302.45,0.49,0.49,1118,0,1,280.78,1.06,0,0
57.08643,-100.25933,311.63,0.38,0.43,937,0,1,286.91,4.8,0,0
58.65075,-120.47408,297.86,0.5,0.49,1118,0,1,282.08,1.55,0,0
58.71809,-120.465,299.47,0.49,0.49,1118,0,1,280.74,1.33,0,0
58.73481,-120.03597,318.2,0.44,0.46,938,0,1,285.53,3.81,0,0
60.39203,-118.08281,310.41,0.4,0.44,937,0,1,280.91,1.52,0,0
59.07347,-120.31718,308.77,0.46,0.47,938,0,1,280.55,3.33,0,0
58.78783,-120.44455,302.53,0.49,0.49,1118,0,1,280.67,1.18,0,0
59.91229,-112.18267,296.48,0.39,0.59,1117,0,1,286.35,0.75,0,0
57.24351,-120.7067,305.67,0.45,0.47,938,0,1,280.49,1.73,0,0
57.0918,-100.24086,354.13,0.45,0.63,1749,0,1,299.22,15.94,1,0
57.20761,-121.75009,304.09,0.49,0.49,938,0,1,279.47,1.42,0,0
57.68707,-120.35374,299.21,0.54,0.51,1118,0,1,282.68,1.66,0,0
58.8341,-118.11725,313.05,0.58,0.52,1118,0,1,287.19,2.25,0,0
58.81295,-118.17667,320.31,0.58,0.52,1118,0,1,287.99,5.23,0,0
58.83776,-118.1011,322.69,0.38,0.43,938,0,1,280.08,2.4,0,0
59.08245,-120.33018,316.2,0.46,0.47,938,0,1,280.82,4.71,0,0
59.76034,-111.78603,304.98,0.41,0.37,937,0,1,286.41,1.28,0,0
58.83884,-120.46226,302.98,0.46,0.47,938,0,1,280.06,2.45,0,0
60.3325,-117.77876,299.62,0.52,0.5,1118,0,1,284.37,0.83,0,0
59.28274,-122.99181,306.6,0.57,0.52,938,0,1,277.96,2.05,0,0
58.63549,-120.52926,320.43,0.49,0.49,1118,0,1,281.34,6.21,0,0
58.84283,-118.11324,309.9,0.38,0.44,938,0,1,278.33,2.39,0,0
56.66874,-121.6468,301.97,0.53,0.5,1119,0,1,280.15,1.17,0,0
59.76161,-111.785,326.7,0.44,0.38,1930,0,1,296.98,8.5,1,0
58.12392,-118.54922,335.54,0.6,0.53,1118,0,1,289.5,10.62,0,0
